operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
1245, 964, 11, 10.093361, 0.008000, insert
1250, 963, 11, 10.092420, 0.005000, remove
1255, 963, 11, 10.095535, 0.008000, remove
1260, 961, 11, 10.108221, 0.004000, search
1265, 961, 11, 10.099896, 0.009000, remove
1270, 960, 11, 10.100000, 0.008000, remove
1275, 959, 11, 10.101147, 0.009000, insert
1280, 958, 11, 10.112735, 0.004000, search
1285, 954, 11, 10.111111, 0.008000, remove
1290, 953, 11, 10.120672, 0.006000, search
1295, 956, 11, 10.123431, 0.004000, insert
1300, 957, 11, 10.121212, 0.009000, insert
1305, 955, 11, 10.131937, 0.005000, search
1310, 956, 11, 10.133891, 0.008000, remove
1315, 953, 11, 10.143757, 0.005000, search
1320, 956, 11, 10.156904, 0.005000, search
1325, 956, 11, 10.167364, 0.005000, search
1330, 956, 11, 10.178870, 0.005000, search
1335, 955, 11, 10.189529, 0.006000, search
1340, 953, 11, 10.200420, 0.004000, search
1345, 951, 11, 10.197687, 0.008000, remove
1350, 952, 11, 10.198529, 0.008000, insert
1355, 953, 11, 10.201469, 0.008000, remove
1360, 955, 11, 10.203141, 0.005000, insert
1365, 951, 11, 10.210305, 0.004000, search
1370, 950, 11, 10.209474, 0.008000, remove
1375, 948, 11, 10.209916, 0.008000, remove
1380, 947, 11, 10.222809, 0.003000, search
1385, 946, 11, 10.232558, 0.005000, search
1390, 946, 11, 10.233615, 0.008000, insert
1395, 946, 11, 10.236786, 0.008000, insert
1400, 948, 11, 10.237342, 0.004000, insert
1405, 945, 11, 10.247619, 0.006000, search
1410, 942, 11, 10.247346, 0.008000, remove
1415, 940, 11, 10.259574, 0.003000, search
1420, 939, 11, 10.259851, 0.008000, remove
1425, 938, 11, 10.256930, 0.004000, remove
1430, 941, 11, 10.261424, 0.005000, insert
1435, 944, 11, 10.260593, 0.006000, insert
1440, 942, 11, 10.269639, 0.006000, search
1445, 943, 11, 10.279958, 0.006000, search
1450, 943, 11, 10.279958, 0.009000, insert
1455, 939, 11, 10.291800, 0.006000, search
1460, 940, 11, 10.302128, 0.006000, search
1465, 939, 11, 10.301384, 0.009000, insert
1470, 939, 11, 10.299255, 0.009000, insert
1475, 936, 11, 10.309829, 0.006000, search
1480, 937, 11, 10.323372, 0.004000, search
1485, 937, 11, 10.322305, 0.008000, insert
1490, 937, 11, 10.330843, 0.005000, search
1495, 935, 11, 10.329412, 0.008000, insert
1500, 934, 11, 10.327623, 0.008000, remove
1505, 933, 11, 10.337621, 0.005000, search
1510, 935, 11, 10.349733, 0.006000, search
1515, 936, 11, 10.361111, 0.006000, search
1520, 932, 11, 10.370172, 0.006000, search
1525, 932, 11, 10.372318, 0.008000, insert
1530, 934, 11, 10.371520, 0.008000, remove
1535, 934, 11, 10.372591, 0.009000, insert
1540, 934, 11, 10.372591, 0.005000, remove
1545, 934, 11, 10.373662, 0.009000, insert
1550, 933, 11, 10.383708, 0.006000, search
1555, 934, 11, 10.385439, 0.008000, insert
1560, 932, 11, 10.381974, 0.008000, remove
1565, 933, 11, 10.382637, 0.008000, insert
1570, 935, 11, 10.382888, 0.008000, insert
1575, 934, 11, 10.380086, 0.008000, remove
1580, 934, 11, 10.380086, 0.005000, remove
1585, 932, 11, 10.381974, 0.005000, remove
1590, 931, 11, 10.381310, 0.008000, remove
1595, 930, 11, 10.380645, 0.005000, insert
1600, 931, 11, 10.379162, 0.008000, remove
1605, 928, 11, 10.389009, 0.007000, search
1610, 929, 11, 10.388590, 0.009000, insert
1615, 933, 11, 10.387996, 0.009000, insert
1620, 930, 11, 10.398925, 0.007000, search
1625, 931, 11, 10.399570, 0.010000, insert
1630, 929, 11, 10.411195, 0.007000, search
1635, 928, 11, 10.421336, 0.007000, search
1640, 927, 11, 10.423948, 0.010000, remove
1645, 924, 11, 10.419913, 0.010000, remove
1650, 923, 11, 10.431203, 0.007000, search
1655, 924, 11, 10.431818, 0.011000, insert
1660, 923, 11, 10.443120, 0.007000, search
1665, 920, 11, 10.439130, 0.006000, remove
1670, 919, 11, 10.450490, 0.004000, search
1675, 918, 11, 10.448802, 0.009000, remove
1680, 917, 11, 10.459106, 0.007000, search
1685, 917, 11, 10.458015, 0.010000, remove
1690, 920, 11, 10.458696, 0.011000, insert
1695, 919, 11, 10.460283, 0.010000, remove
1700, 920, 11, 10.460870, 0.011000, insert
1705, 921, 11, 10.472313, 0.007000, search
1710, 919, 11, 10.471164, 0.010000, remove
1715, 920, 11, 10.484783, 0.004000, search
1720, 921, 11, 10.485342, 0.007000, remove
1725, 917, 11, 10.484188, 0.010000, remove
1730, 919, 11, 10.486398, 0.009000, remove
1735, 918, 11, 10.498911, 0.007000, search
1740, 918, 11, 10.509804, 0.006000, search
1745, 913, 11, 10.520263, 0.006000, search
1750, 910, 11, 10.520879, 0.010000, remove
1755, 910, 11, 10.535165, 0.007000, search
1760, 905, 11, 10.546961, 0.007000, search
1765, 905, 11, 10.548066, 0.010000, remove
1770, 907, 11, 10.546858, 0.010000, insert
1775, 907, 11, 10.546858, 0.009000, remove
1780, 903, 11, 10.547065, 0.007000, remove
1785, 903, 11, 10.545958, 0.010000, remove
1790, 905, 11, 10.545856, 0.006000, insert
1795, 903, 11, 10.559247, 0.007000, search
1800, 902, 11, 10.570953, 0.007000, search
1805, 901, 11, 10.582686, 0.006000, search
1810, 900, 11, 10.593333, 0.007000, search
1815, 901, 11, 10.603774, 0.005000, search
1820, 899, 11, 10.605117, 0.007000, insert
1825, 897, 11, 10.606466, 0.010000, insert
1830, 895, 11, 10.607821, 0.010000, remove
1835, 894, 11, 10.607383, 0.010000, insert
1840, 894, 11, 10.619687, 0.007000, search
1845, 894, 11, 10.620805, 0.009000, insert
1850, 897, 11, 10.620959, 0.010000, insert
1855, 897, 11, 10.618729, 0.009000, insert
1860, 897, 11, 10.619844, 0.010000, remove
1865, 895, 11, 10.615642, 0.010000, remove
1870, 897, 11, 10.614270, 0.006000, insert
1875, 895, 11, 10.624581, 0.007000, search
1880, 897, 11, 10.626533, 0.010000, insert
1885, 894, 11, 10.625280, 0.010000, remove
